categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1565;4290
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1049;4300
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;3706;4420
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;679;4460
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;860;4470
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;921;4500
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;110;4520
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;157;4530
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;721;4540
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;633;4550
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;212;4560
true;false;false;false;false;false;true;true;false;false;true;false;false;false;false;1846;4570
true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;3331;4580
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;221;4700
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;1097;4720
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;273;4760
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;296;4770
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;272;4780
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;296;4800
true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;16260;4850
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;1289;4870
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;201;4880
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;1203;4890
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;506;4900
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;5983;4920
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;1111;4920
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1136;6000
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;1079;6010
true;true;false;false;false;false;true;false;false;true;false;false;false;false;false;897;6020
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;27899;6030
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;176;6040
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;253;6060
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;175;6080
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;507;6090
false;true;false;true;false;false;false;false;false;false;true;false;false;false;true;4269;6120
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;1637;6120
true;true;false;false;false;false;false;false;false;false;false;true;true;true;false;132;6200
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;780;6210
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;7624;6220
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;55512;6250
true;true;false;false;false;false;false;false;false;true;true;false;false;false;false;242;6270
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;85750;6300
true;true;true;false;false;false;true;false;false;false;true;false;false;false;false;15545;6310
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;122;6370
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1533;6400
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;118;6420
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1645;6510
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;137;6550
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;181;6600
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;510;6800
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;8176;6810
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;8176;6830
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;377;6840
true;true;false;false;false;false;true;false;false;true;false;false;false;false;false;457;6850
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;782;6860
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;2834;6870
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;2696;6880
true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;438;6900
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;6867;6910
true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;219;6920
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;450;6980
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1518;7000
false;true;true;true;false;false;false;false;false;false;true;false;false;false;true;2160;7010
false;true;true;true;false;false;false;false;false;false;true;false;false;false;true;7304;7020
true;true;true;false;false;false;false;false;false;false;false;false;false;true;false;5972;7110
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;670;7200
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;105;7210
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;13072;7220
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;103;7260
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;571;7340
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;2122;7510
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;22223;7520
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;22223;7530
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1045;7600
true;true;false;false;false;false;false;false;false;true;true;false;false;false;false;480;7610
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;11234;7620
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;7194;7650
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;5077;7660
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;109;7670
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;125;7730
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;131;7760
true;false;false;false;false;false;false;true;false;false;true;false;false;false;false;257;7770
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;465;7830
true;true;false;false;false;true;false;false;true;false;false;false;false;true;false;519;7840
true;true;true;false;false;true;true;false;false;true;false;false;false;false;false;557;7860
